,Ending Station ID,Starting Station ID,Duration,Duration_min,Distance,Price
827,15,28,3214.285714285714,53.57142857142857,2.1009464008912024,3.5
828,15,29,1275.0,21.25,2.023216452365322,1.75
831,15,32,1080.0,18.0,2.554955144630964,1.75
832,15,33,1984.2857142857142,33.07142857142857,0.7073545379497148,3.5
834,15,36,1980.0,33.0,1.70137330576757,3.5
835,15,37,2916.0,48.6,1.8006757192664726,3.5
836,15,40,7050.0,117.5,1.7335283517170257,7.0
839,15,44,797.6470588235294,13.294117647058824,1.0789690824270861,1.75
841,15,46,1786.6666666666667,29.77777777777778,2.4879889114958478,1.75
845,15,50,1860.0,31.0,3.9443895112988776,3.5
846,15,51,1890.0,31.5,1.8808510476085831,3.5
847,15,52,1293.3333333333333,21.555555555555557,2.4209024158035275,1.75
848,15,53,1344.0,22.4,2.381711798550788,1.75
852,15,57,900.0,15.0,1.6154878620035569,1.75
854,15,60,855.0,14.25,1.1023864114050141,1.75
1244,23,2,3345.0,55.75,0.9301584293647546,3.5
1246,23,4,500.0,8.333333333333334,0.3913895709819984,1.75
1249,23,7,3210.0,53.5,1.6375703879733858,3.5
1256,23,14,660.0,11.0,1.7221461264271085,1.75
1258,23,16,1122.0,18.7,2.3074482423066853,1.75
1259,23,17,580.0,9.666666666666666,1.1220269268839893,1.75
1260,23,18,1515.0,25.25,1.8634218497323367,1.75
1261,23,19,1392.0,23.2,1.0797706852192497,1.75
1262,23,20,1145.4545454545455,19.09090909090909,1.459445990023618,1.75
1269,23,28,3073.6363636363635,51.22727272727273,0.8296013407564814,3.5
1270,23,29,1320.0,22.0,1.4957612713630382,1.75
1273,23,33,586.1538461538462,9.76923076923077,0.8658035975709814,1.75
1275,23,35,660.0,11.0,1.5676654168808248,1.75
1276,23,36,800.0,13.333333333333334,0.4699823149067148,1.75
1277,23,40,1820.0,30.333333333333332,0.46112010077641935,3.5
1281,23,44,454.2857142857143,7.571428571428571,0.29874987847178913,1.75
1283,23,46,585.0,9.75,1.2180549787551502,1.75
1287,23,51,560.0,9.333333333333334,0.6086375135869697,1.75
1288,23,52,1292.7272727272727,21.545454545454547,1.2533701123927175,1.75
1289,23,53,1011.25,16.854166666666668,1.1420233990346023,1.75
1293,23,57,285.0,4.75,0.47985594608654375,1.75
1296,23,60,1110.0,18.5,0.6678699914631122,1.75
1301,24,2,477.39130434782606,7.956521739130435,1.08706050771591,1.75
1303,24,4,5960.0,99.33333333333333,0.84579527324247,7.0
1306,24,7,990.0,16.5,2.0613285626042703,1.75
1313,24,14,870.0,14.5,1.9224084438832327,1.75
1315,24,16,1353.3333333333333,22.555555555555557,2.5002819812601342,1.75
1316,24,17,1215.0,20.25,1.5255195842565676,1.75
1317,24,18,630.0,10.5,2.116012566506188,1.75
1318,24,19,1234.2857142857142,20.571428571428573,1.5267917878978179,1.75
1319,24,20,1489.655172413793,24.82758620689655,1.8763214609130243,1.75
1326,24,28,1952.608695652174,32.54347826086956,1.3046612457003879,3.5
1327,24,29,720.0,12.0,1.1473954573291374,1.75
1329,24,32,14400.0,240.0,1.645538861150296,15.75
1330,24,33,398.5074626865672,6.641791044776119,0.31795713910118467,1.75
1332,24,35,1180.0,19.666666666666668,1.6558028051803015,1.75
1333,24,36,874.2857142857143,14.571428571428571,0.864631433765223,1.75
1334,24,37,426.88524590163934,7.114754098360656,0.8862734328206733,1.75
1335,24,39,2340.0,39.0,2.1991607475802164,3.5
1336,24,40,711.0,11.85,0.9789853660238352,1.75
1340,24,44,1090.0,18.166666666666668,0.7024404779761623,1.75
1342,24,46,875.4545454545455,14.590909090909092,1.730773239700856,1.75
1346,24,50,3882.8571428571427,64.71428571428571,3.032617414227533,5.25
1347,24,51,3570.0,59.5,1.1087476190738204,3.5
1348,24,52,502.6666666666667,8.377777777777778,1.4816190410885122,1.75
1349,24,53,1049.0,17.483333333333334,1.4984529299731295,1.75
1353,24,57,608.5714285714286,10.142857142857142,1.1032327841962621,1.75
1418,26,2,2550.0,42.5,2.1009542408812787,3.5
1421,26,7,913.6363636363636,15.227272727272727,1.523867851611781,1.75
1427,26,14,934.2857142857143,15.571428571428571,2.2451820587671514,1.75
1428,26,17,886.6666666666666,14.777777777777779,1.5859702508584708,1.75
1429,26,19,846.6666666666666,14.11111111111111,1.4686707443107474,1.75
1430,26,20,720.0,12.0,1.530076528732037,1.75
1437,26,28,3450.0,57.5,1.4836010989836248,3.5
1438,26,29,1530.0,25.5,3.0817016645740867,1.75
1441,26,32,2889.230769230769,48.15384615384615,1.83908019583739,3.5
1442,26,33,1404.0,23.4,2.7490740358273573,1.75
1444,26,35,1215.0,20.25,2.433464877146175,1.75
1445,26,36,4020.0,67.0,1.8079590065582234,5.25
1446,26,37,1640.0,27.333333333333332,2.8460649251190624,1.75
1447,26,39,826.6666666666666,13.777777777777779,0.32128530436463043,1.75
1448,26,40,3788.2758620689656,63.13793103448276,1.6196934465038066,5.25
1452,26,46,1083.3333333333333,18.055555555555557,1.2005955490583755,1.75
1456,26,50,1560.0,26.0,2.3769344175565843,1.75
